SD;X1;X2;x1_res;x2_res;y;f_calls;g_calls;CG;x1_res;x2_res;y;f_calls;g_calls;Newton;x1_res;x2_res;y;f_calls;g_calls
;-0,821497;-1,058199;0,004369;-0,010579;0,000103876; 48;47;;0,001087;-0,003075;8,47519e-06; 19;19;;-1,068142;0,517129;0,877636; 88;87
;-0,793664;-0,908780;0,004386;-0,010653;0,000105247; 45;44;;0,001540;-0,002675;7,77964e-06; 18;18;;-1,067683;0,517157;0,877622; 86;85
;1,375835;-1,219092;1,748420;-0,882695;0,298715; 35;34;;1,747668;-0,875675;0,298642; 17;17;;1,077561;-0,552700;0,877447; 72;71
;1,561388;-1,081515;1,748425;-0,882751;0,298716; 31;30;;1,747717;-0,875748;0,298642; 16;16;;1,740312;-0,891046;0,299376; 53;52
;-0,305002;-1,008637;0,004243;-0,010246;9,7516e-05; 53;52;;0,000076;-0,001184;1,32472e-06; 22;22;;-0,004674;-0,017849;0,000445708; 80;79
;1,714347;1,238380;1,746664;-0,864703;0,298717; 56;55;;1,747431;-0,871883;0,298642; 19;19;;1,747283;-0,854940;0,298989; 93;92
;1,000580;0,474319;0,004406;-0,010267;9,90001e-05; 41;40;;-0,000376;-0,000567;8,18592e-07; 31;31;;1,069299;-0,516814;0,877676; 79;78
;-1,519395;-0,947966;-1,746675;0,864812;0,298716; 55;54;;-1,747375;0,872103;0,298641; 21;21;;-1,746473;0,855462;0,298961; 90;89
;-0,052797;0,291330;-0,004419;0,010676;0,000105851; 40;39;;-0,000440;0,001777;2,76363e-06; 18;18;;-0,003297;0,018252;0,000294709; 55;54
;-0,401074;-1,627186;0,004299;-0,010377;0,000100035; 59;58;;0,000006;-0,001757;3,0774e-06; 22;22;;-0,003502;-0,018275;0,000422491; 89;88
;0,809900;0,673421;-0,003879;0,009988;9,11046e-05; 36;35;;-0,000125;0,002471;5,82708e-06; 13;13;;1,067171;-0,516666;0,877623; 82;81
;-0,794275;0,300363;-0,004427;0,010671;0,00010583; 52;51;;0,001512;-0,001959;5,44573e-06; 31;31;;-1,057194;0,522835;0,877006; 56;55
;-0,239692;0,693686;-0,004211;0,010164;9,59789e-05; 52;51;;-0,001128;0,002278;5,16519e-06; 20;20;;-0,005819;0,017947;0,000285371; 72;71
;-0,681112;-0,928068;0,004265;-0,010319;9,88531e-05; 48;47;;0,000046;-0,001811;3,19991e-06; 21;21;;-1,067144;0,517360;0,877599; 86;85
;-0,786950;-0,272164;-0,004415;0,009896;9,32213e-05; 35;34;;-0,000061;0,001602;2,47744e-06; 18;18;;-1,065433;0,517762;0,877528; 75;74
;-0,046693;-1,784051;0,004127;-0,009961;9,2179e-05; 62;61;;0,000194;-0,001889;3,27543e-06; 22;22;;-0,000485;-0,018571;0,000354334; 90;89
;-0,133366;-0,169378;0,004114;-0,010522;0,000101269; 28;27;;0,001350;-0,001585;4,01774e-06; 15;15;;-0,011111;-0,014570;0,000621089; 49;48
;0,493728;0,930754;-0,004367;0,010553;0,00010343; 50;49;;0,000036;0,001109;1,2726e-06; 22;22;;0,005894;0,017525;0,000479921; 80;79
;-1,934446;0,149846;-1,746694;0,865002;0,298712; 45;44;;-1,747391;0,871794;0,298642; 19;19;;-1,754939;0,857121;0,299375; 73;72
;0,952239;0,815394;-0,003507;0,009981;8,92172e-05; 34;33;;0,000193;-0,001605;2,34026e-06; 19;19;;1,069042;-0,517148;0,877658; 85;84
;-1,892209;-1,495224;-1,746648;0,864532;0,298721; 57;56;;nan;nan;nan; 17;17;;-1,749250;0,854962;0,299042; 95;94
;1,731437;1,077975;1,746655;-0,864605;0,298719; 55;54;;1,747522;-0,871621;0,298643; 20;20;;1,747408;-0,855445;0,298972; 92;91
;-0,878384;1,254738;-0,004248;0,010248;9,75817e-05; 67;66;;nan;nan;nan; 19;19;;-1,066297;0,553451;0,877734; 73;72
;-1,478133;0,343699;-1,746692;0,864985;0,298713; 43;42;;-1,747708;0,876055;0,298643; 18;18;;-1,070211;0,516891;0,877693; 61;60
;-1,861324;0,579669;-1,746713;0,865196;0,298709; 36;35;;-1,747379;0,871148;0,298645; 16;16;;-1,756504;0,857354;0,29955; 56;55
;-1,043062;1,191748;-1,746664;0,864695;0,298718; 34;33;;nan;nan;nan; 13;13;;-1,069791;0,553383;0,877702; 71;70
;0,987396;0,301828;0,004467;-0,010671;0,000106105; 46;45;;0,001046;-0,000577;1,91693e-06; 41;41;;1,068741;-0,516497;0,877674; 75;74
;1,650136;-0,459059;1,746707;-0,865140;0,29871; 40;39;;1,747202;-0,871728;0,298643; 17;17;;1,744171;-0,855223;0,298989; 61;60
;-1,369610;1,370464;-1,748460;0,883106;0,298722; 39;38;;-1,747744;0,875892;0,298643; 18;18;;-1,076194;0,552732;0,877506; 76;75
;0,240425;-0,984954;0,004158;-0,010037;9,35818e-05; 56;55;;0,001192;-0,002249;5,21919e-06; 21;21;;0,004074;-0,017861;0,000279457; 79;78
;0,574419;0,135075;0,004385;-0,009719;9,03021e-05; 32;31;;0,000220;-0,002051;3,85289e-06; 17;17;;1,073892;-0,517492;0,877715; 61;60
;1,071017;0,407178;0,004157;-0,009969;9,25052e-05; 50;49;;nan;nan;nan; 25;25;;1,070551;-0,517117;0,877691; 78;77
;-1,026948;-1,465560;0,004410;-0,010669;0,000105675; 51;50;;0,001295;-0,002064;4,93985e-06; 19;19;;-1,070139;0,516479;0,877707; 92;91
;1,124851;-1,628407;1,748392;-0,882408;0,29871; 42;41;;1,747756;-0,875733;0,298642; 15;15;;1,071448;-0,553329;0,87767; 81;80
;-0,947722;-0,676840;-0,002068;-0,003822;3,1067e-05; 27;26;;0,000006;0,001311;1,72698e-06; 19;19;;-1,068822;0,517260;0,877649; 83;82
;-1,156346;-0,531693;-0,004195;0,010087;9,46224e-05; 55;54;;nan;nan;nan; 16;16;;-1,072050;0,516730;0,877729; 80;79
;1,479354;1,462508;1,746675;-0,864808;0,298716; 59;58;;nan;nan;nan; 17;17;;1,069626;-0,517076;0,877674; 95;94
