SD;X1;X2;x1_res;x2_res;y;f_calls;g_calls;CG;x1_res;x2_res;y;f_calls;g_calls;Newton;x1_res;x2_res;y;f_calls;g_calls
;-0,401074;-1,627186;0,000230;-0,000347;1,46304e-07; 283;9;;-0,000047;0,000003;4,33207e-09; 196;7;;-0,000000;-0,000000;2,16466e-19; 145;4
;0,809900;0,673421;0,000134;-0,000521;2,37316e-07; 223;7;;0,000063;-0,000087;1,00805e-08; 193;7;;1,747552;-0,873776;0,298638; 190;5
;-0,794275;0,300363;-0,000142;0,000020;3,78854e-08; 193;6;;0,000268;-0,000873;6,71742e-07; 313;11;;0,000000;-0,000000;6,55576e-16; 115;3
;-0,239692;0,693686;-0,000028;0,000087;6,69083e-09; 190;6;;0,000007;0,000109;1,27591e-08; 163;6;;-0,000000;0,000000;3,72516e-17; 109;3
;-0,681112;-0,928068;-0,000085;0,000018;1,32213e-08; 196;6;;-0,000079;0,000296;7,64887e-08; 160;6;;-1,747552;0,873776;0,298638; 145;4
;-0,786950;-0,272164;0,000191;-0,000290;1,0196e-07; 259;8;;-0,000124;0,000287;7,74523e-08; 190;7;;-0,000000;0,000000;6,20942e-17; 139;4
;-0,046693;-1,784051;0,000095;-0,000344;1,03483e-07; 256;8;;0,000026;-0,000134;1,59232e-08; 169;6;;0,000000;-0,000000;3,65729e-15; 73;2
;-0,133366;-0,169378;0,000062;-0,000122;1,49703e-08; 157;5;;-0,000053;-0,000304;1,13914e-07; 166;6;;0,000000;-0,000000;1,35471e-20; 109;3
;0,493728;0,930754;-0,000277;0,000467;2,42236e-07; 220;7;;-0,000032;0,000041;2,43394e-09; 157;6;;-0,000000;0,000000;7,07738e-16; 142;4
;-1,934446;0,149846;-1,747284;0,872422;0,29864; 466;17;;-1,747586;0,873374;0,298639; 219;9;;-1,747552;0,873776;0,298638; 145;4
;0,952239;0,815394;0,000254;-0,000356;1,65813e-07; 286;9;;-0,000099;0,000364;1,16204e-07; 316;11;;1,747552;-0,873776;0,298638; 170;4
;-1,892209;-1,495224;-0,000172;0,000241;7,56359e-08; 316;10;;-0,000028;0,000068;4,32906e-09; 262;9;;-1,747552;0,873776;0,298638; 109;3
;1,731437;1,077975;0,000091;-0,000380;1,2636e-07; 267;8;;-0,000460;0,000731;6,21771e-07; 618;22;;1,747552;-0,873777;0,298638; 73;2
;-0,878384;1,254738;0,000055;0,000228;7,03196e-08; 327;10;;0,000035;-0,000014;2,21642e-09; 273;9;;-1,747552;0,873776;0,298638; 198;5
;-1,478133;0,343699;-1,747525;0,871811;0,298642; 361;13;;-1,747451;0,873290;0,298639; 166;7;;0,000000;-0,000000;7,01548e-20; 139;4
;-1,861324;0,579669;-1,747554;0,871783;0,298642; 381;14;;-1,747555;0,873682;0,298638; 226;9;;-1,747552;0,873777;0,298638; 109;3
;-1,043062;1,191748;-1,747533;0,872349;0,29864; 397;14;;-1,756357;0,843009;0,300334; 1004;36;;-1,747552;0,873776;0,298638; 189;4
;0,987396;0,301828;0,000361;-0,000515;3,39539e-07; 286;9;;-0,001042;0,001725;3,34966e-06; 602;22;;1,747552;-0,873776;0,298638; 173;4
;1,650136;-0,459059;1,747307;-0,872445;0,29864; 386;14;;1,747539;-0,874025;0,298639; 171;7;;1,747552;-0,873776;0,298638; 145;4
;-1,369610;1,370464;-1,747777;0,874925;0,29864; 416;15;;-1,747490;0,873684;0,298638; 169;7;;0,000000;-0,000000;1,13526e-14; 145;4
;0,240425;-0,984954;0,000103;-0,000447;1,74787e-07; 253;8;;-0,000093;-0,000239;9,69292e-08; 193;7;;0,000000;-0,000000;5,92684e-17; 109;3
;0,574419;0,135075;-0,000058;-0,000117;2,72524e-08; 223;7;;-0,000080;-0,000327;1,4616e-07; 163;6;;1,747552;-0,873776;0,298638; 98;3
;1,071017;0,407178;0,000192;-0,000095;6,4445e-08; 289;9;;-0,000343;0,001205;1,27461e-06; 595;21;;1,070542;-0,535271;0,877362; 73;2
;-1,026948;-1,465560;-0,000178;0,000249;8,09177e-08; 286;9;;0,000072;0,000553;3,56467e-07; 226;8;;-1,747552;0,873776;0,298638; 186;4
;1,124851;-1,628407;1,747550;-0,872281;0,298641; 389;14;;1,747595;-0,872441;0,29864; 230;9;;1,747552;-0,873776;0,298638; 225;5
;-0,947722;-0,676840;-0,000255;0,000364;1,69685e-07; 286;9;;0,000218;-0,000716;4,51844e-07; 316;11;;-1,747552;0,873776;0,298638; 170;4
;-1,156346;-0,531693;-0,000056;0,000281;6,93156e-08; 322;10;;-0,000664;0,001909;3,2571e-06; 830;32;;-0,000000;-0,000000;6,0933e-17; 230;5
;1,479354;1,462508;1,747543;-0,872267;0,298641; 411;14;;1,758574;-1,039500;0,325029; 1003;35;;-1,747552;0,873776;0,298638; 139;4
;0,454909;1,681387;-0,000222;0,000336;1,37044e-07; 283;9;;0,000117;-0,000418;1,53342e-07; 163;6;;-0,000000;0,000000;4,36595e-16; 142;4
;0,302438;0,800745;0,000059;0,000180;5,01748e-08; 253;8;;0,000012;-0,000239;5,45166e-08; 163;6;;0,000000;0,000000;6,77231e-15; 109;3
;-1,569811;1,541978;-1,747806;0,875088;0,29864; 466;17;;-1,747618;0,875319;0,298641; 167;7;;-1,747552;0,873776;0,298638; 142;4
;-1,912961;-0,831996;-0,000089;0,000395;1,3695e-07; 286;9;;0,000075;-0,000168;2,68265e-08; 226;8;;-1,747552;0,873776;0,298638; 145;4
;0,704184;0,975799;-0,000257;0,000395;1,86856e-07; 199;6;;0,000024;-0,000003;1,07285e-09; 193;7;;1,747552;-0,873776;0,298638; 181;5
;1,870602;-0,991302;1,747554;-0,875136;0,29864; 299;11;;1,747496;-0,873744;0,298638; 197;8;;1,747552;-0,873776;0,298638; 150;4
;-0,726768;0,002869;-0,000088;-0,000222;8,45248e-08; 229;7;;0,000113;-0,000278;7,15167e-08; 286;10;;-0,000000;-0,000000;4,16861e-18; 146;4
;1,563219;-1,320658;1,747731;-0,874743;0,298639; 411;15;;1,747458;-0,873394;0,298639; 192;8;;1,747552;-0,873776;0,298638; 142;4
