w;l0;d0;l_star;d_star;masa_kg;ugiecie_mm;naprezenie_MPa;f_combined;f_calls
0,870000;878,023621;18,883328;200,067765;24,537896;0,843930;2,499998;275,864131;0,076672;327
0,880000;406,720176;13,791620;200,001141;24,531765;0,843228;2,499999;275,979088;0,077204;627
0,890000;979,100925;49,984130;200,000234;24,531796;0,843226;2,499952;275,976782;0,077797;226
0,900000;960,545671;28,451491;200,000342;24,531784;0,843226;2,499961;275,977357;0,078390;213
0,910000;993,432417;20,068667;200,119717;24,542765;0,844484;2,499961;275,771598;0,079098;327
0,920000;441,584521;10,321055;200,066744;34,957605;1,712825;0,606898;95,406947;0,158065;410
0,930000;822,186956;47,191076;200,000004;24,531647;0,843215;2,500005;275,981526;0,082337;226
0,940000;373,393963;19,885556;200,039540;24,535381;0,843638;2,499965;275,910046;0,080802;319
0,950000;696,060060;17,782220;200,103863;24,541270;0,844315;2,499976;275,800137;0,081460;518
0,960000;707,827998;33,677480;200,000279;24,531944;0,843236;2,499894;275,971862;0,081951;216
0,970000;263,991211;28,345286;200,000076;24,531945;0,843235;2,499886;275,971569;0,082544;197
0,980000;624,109622;49,442122;200,000006;24,531896;0,843232;2,499903;275,973097;0,083137;221
0,990000;383,697012;21,890011;199,986766;24,530667;0,843092;2,499907;275,996306;1751397,588845;313
1,000000;441,779839;24,182562;200,000091;25,051514;0,879332;2,298859;259,154279;0,087933;306
